,0
Account length,6
International plan,1
Voice mail plan,1
Number vmail messages,2
Total day minutes,1
Total day calls,4
Total day charge,1
Total eve minutes,1
Total eve calls,3
Total eve charge,1
Total night minutes,1
Total night calls,5
Total night charge,1
Total intl minutes,1
Total intl calls,1
Total intl charge,1
Customer service calls,1
Total national minutes,1
Total national calls,1
Total national charge,1
Avg minutes per call,1
Avg int minutes per call,1
Cost per minute,1
Cost per minute intl,1
High service calls,1
Has All Plans,1
zero_vmail_messages,1
